[0.01, 3e-06, 'ResNet50', '9999', '0.7267431827975304', '0.6145457076759386'],
[0.01, 3e-06, 'ResNet50', '8999', '0.7838156774031075', '0.681201558372216'],
[0.01, 3e-06, 'ResNet50', '7999', '0.7490564786663093', '0.6956206308920463'],
[0.01, 3e-06, 'ResNet50', '6999', '0.703312370127788', '0.6660098075823965'],
[0.01, 3e-06, 'ResNet50', '5999', '0.5362324951138515', '0.5478506255370144'],
[0.01, 3e-06, 'ResNet50', '4999', '0.49090644780264237', '0.568614629291851'],
[0.01, 3e-06, 'ResNet50', '3999', '0.5076593736300942', '0.6012107280323922'],
[0.01, 3e-06, 'ResNet50', '2999', '0.34769331155548727', '0.47337870043239105'],
[0.01, 3e-06, 'ResNet50', '1999', '0.11098622188964653', '0.4360618226433304'],
[0.001, 3e-06, 'ResNet50', '999', '0.0732718634491742', '0.1127332397900053'],
[0.001, 3e-06, 'ResNet50', '14999', '0.6631246723789144', '0.5344031969782421'],
[0.001, 3e-06, 'ResNet50', '13999', '0.6789801827497979', '0.5690660206151885'],
[0.001, 3e-06, 'ResNet50', '12999', '0.6252336753955013', '0.60315395059546'],
[0.001, 3e-06, 'ResNet50', '11999', '0.7128991896245013', '0.6187630940423078'],
[0.001, 3e-06, 'ResNet50', '10999', '0.6412259404499203', '0.5795208195467547'],
[0.001, 3e-06, 'ResNet50', '9999', '0.6235853941429397', '0.5585434537403234'],
[0.001, 3e-06, 'ResNet50', '8999', '0.685832515266781', '0.618557304406107'],
[0.001, 3e-06, 'ResNet50', '7999', '0.6352297761948469', '0.5649878316238734'],
[0.001, 3e-06, 'ResNet50', '6999', '0.6084166936985856', '0.5483693996929195'],
[0.001, 3e-06, 'ResNet50', '5999', '0.5251712333947021', '0.5085934637590358'],
[0.005, 3e-06, 'ResNet50', '999', '0.2756276891720679', '0.45263639022956176'],
[0.001, 3e-06, 'ResNet50', '4999', '0.4350697326608821', '0.4694440374121024'],
[0.005, 3e-06, 'ResNet50', '14999', '0.7196661560926833', '0.632747749194254'],
[0.005, 3e-06, 'ResNet50', '13999', '0.7494177655583225', '0.6401743548157836'],
[0.001, 3e-06, 'ResNet50', '3999', '0.4801617372941463', '0.47961982021017197'],
[0.005, 3e-06, 'ResNet50', '12999', '0.7229894341801678', '0.6116508799748772'],
[0.005, 3e-06, 'ResNet50', '11999', '0.6554785756853353', '0.5866570983831288'],
[0.005, 3e-06, 'ResNet50', '10999', '0.7605212021926755', '0.6088170729554797'],
[0.005, 3e-06, 'ResNet50', '9999', '0.6768456757604795', '0.6037153579614013'],
[0.001, 3e-06, 'ResNet50', '2999', '0.4390461777494236', '0.4940654577637025'],
[0.005, 3e-06, 'ResNet50', '8999', '0.7032089673558589', '0.6223695986152976'],
[0.005, 3e-06, 'ResNet50', '7999', '0.7159262109219389', '0.6310358624166634'],
[0.005, 3e-06, 'ResNet50', '6999', '0.6988445731001579', '0.6286306521618472'],
[0.005, 3e-06, 'ResNet50', '5999', '0.7624473386445774', '0.5835229833358213'],
[0.005, 3e-06, 'ResNet50', '4999', '0.5714885174930803', '0.5857102446304598'],
[0.001, 3e-06, 'ResNet50', '1999', '0.2752709256803526', '0.4087424887054506'],
[0.005, 3e-06, 'ResNet50', '3999', '0.5569419535490412', '0.5917861005840157'],
[0.005, 3e-06, 'ResNet50', '2999', '0.4039481471551555', '0.5122234537594561'],
[0.005, 3e-06, 'ResNet50', '1999', '0.43713514598404224', '0.5543178154067863'],
[0.02, 3e-06, 'ResNet50', '999', '0.03727866628444456', '0.16224142874794611'],
[0.02, 3e-06, 'ResNet50', '14999', '0.7513372728348033', '0.5853212839854358'],
[0.02, 3e-06, 'ResNet50', '13999', '0.6740074021123533', '0.6088195756039345'],
[0.02, 3e-06, 'ResNet50', '12999', '0.6359374373098582', '0.6066851842650375'],
[0.02, 3e-06, 'ResNet50', '11999', '0.6325680226550601', '0.599718422625523'],
[0.02, 3e-06, 'ResNet50', '10999', '0.7310073051277453', '0.620688548819924'],
[0.02, 3e-06, 'ResNet50', '9999', '0.41129815833585576', '0.5739236519863216'],
[0.02, 3e-06, 'ResNet50', '8999', '0.6889467164429466', '0.5983231717967057'],
[0.02, 3e-06, 'ResNet50', '7999', '0.5643879183349234', '0.5718771137740781'],
[0.02, 3e-06, 'ResNet50', '6999', '0.469812441865607', '0.5815268695889717'],
[0.02, 3e-06, 'ResNet50', '5999', '0.35044426240782833', '0.44610803448156783'],
[0.02, 3e-06, 'ResNet50', '4999', '0.1810332428994025', '0.5220432008171467'],
[0.02, 3e-06, 'ResNet50', '3999', '0.2661397183094726', '0.5801293166943509'],
[0.02, 3e-06, 'ResNet50', '2999', '0.1387591777829774', '0.48296298478990096'],
[0.02, 3e-06, 'ResNet50', '1999', '0.3062622473629239', '0.6799820011328146'],
[0.007, 3e-06, 'ResNet50', '999', '0.07131014320690932', '0.3234234993472279'],
[0.007, 3e-06, 'ResNet50', '14999', '0.7002868004008183', '0.6320890629462907'],
[0.007, 3e-06, 'ResNet50', '13999', '0.7101710495330134', '0.5752456923731684'],
[0.007, 3e-06, 'ResNet50', '12999', '0.6909792509325623', '0.5845335810885823'],
[0.007, 3e-06, 'ResNet50', '11999', '0.7052526523415666', '0.638529963877734'],
[0.007, 3e-06, 'ResNet50', '10999', '0.6857355149330783', '0.6120439417015764'],
[0.007, 3e-06, 'ResNet50', '9999', '0.7101768145178292', '0.6198053777490722'],
[0.007, 3e-06, 'ResNet50', '8999', '0.6649213160543169', '0.6029399365795489'],
[0.007, 3e-06, 'ResNet50', '7999', '0.677038568238795', '0.6044216356801354'],
[0.007, 3e-06, 'ResNet50', '6999', '0.7060507953335347', '0.6074181062679007'],
[0.007, 3e-06, 'ResNet50', '5999', '0.4824110659923795', '0.5492802361225335'],
[0.007, 3e-06, 'ResNet50', '4999', '0.6077797149706043', '0.5912663851935201'],
[0.007, 3e-06, 'ResNet50', '3999', '0.6345145670794811', '0.6755206993410567'],
[0.007, 3e-06, 'ResNet50', '2999', '0.5121319125252575', '0.6493659232887075'],
[0.009, 3e-06, 'ResNet50', '999', '0.12201164567606455', '0.3503733568006725'],
[0.007, 3e-06, 'ResNet50', '1999', '0.3389056837279322', '0.5186567888296336'],
[0.003, 3e-06, 'ResNet50', '999', '0.14839471890663009', '0.2764035460708342'],
[0.009, 3e-06, 'ResNet50', '14999', '0.76415737091876', '0.615875162397753'],
[0.009, 3e-06, 'ResNet50', '13999', '0.7638127419500772', '0.6016347315608064'],
[0.009, 3e-06, 'ResNet50', '12999', '0.7714854328384491', '0.6838664844373615'],
[0.009, 3e-06, 'ResNet50', '11999', '0.7383165348009992', '0.604070449449359'],
[0.003, 3e-06, 'ResNet50', '14999', '0.6834816693660135', '0.6504367428701021'],
[0.009, 3e-06, 'ResNet50', '10999', '0.6432828668044861', '0.5879958190333184'],
[0.009, 3e-06, 'ResNet50', '9999', '0.7665854385141152', '0.6109516695263231'],
[0.003, 3e-06, 'ResNet50', '13999', '0.6937309863238499', '0.5757494681566684'],
[0.009, 3e-06, 'ResNet50', '8999', '0.7633868112591474', '0.6171565907535759'],
[0.009, 3e-06, 'ResNet50', '7999', '0.7025809466277588', '0.6292863748127546'],
[0.003, 3e-06, 'ResNet50', '12999', '0.6893898388075708', '0.5838400694716122'],
[0.009, 3e-06, 'ResNet50', '6999', '0.7236826930192262', '0.6215430554552326'],
[0.003, 3e-06, 'ResNet50', '11999', '0.6236705954549906', '0.5584111715809397'],
[0.009, 3e-06, 'ResNet50', '5999', '0.7426090895654601', '0.6276779909222383'],
[0.009, 3e-06, 'ResNet50', '4999', '0.728890132189979', '0.5617290948530543'],
[0.003, 3e-06, 'ResNet50', '10999', '0.6798215006554398', '0.5867216851488575'],
[0.009, 3e-06, 'ResNet50', '3999', '0.6407792021616342', '0.6328598301361825'],
[0.009, 3e-06, 'ResNet50', '2999', '0.5575638910552663', '0.5575660562022549'],
[0.003, 3e-06, 'ResNet50', '9999', '0.6962755109059043', '0.6047549600984974'],
[0.009, 3e-06, 'ResNet50', '1999', '0.205126916645152', '0.46668547319586234'],
[0.003, 3e-06, 'ResNet50', '8999', '0.6544661629135976', '0.5492665505704399'],
[0.003, 3e-06, 'ResNet50', '7999', '0.7253626383854118', '0.6302182871871255'],
[0.003, 3e-06, 'ResNet50', '6999', '0.5645386903083638', '0.5713137850050711'],
[0.003, 3e-06, 'ResNet50', '5999', '0.7293865195061356', '0.6019192228176096'],
[0.003, 3e-06, 'ResNet50', '4999', '0.684390946461028', '0.5612152684384067'],
[0.003, 3e-06, 'ResNet50', '3999', '0.5201395078866127', '0.6125710671146039'],
[0.003, 3e-06, 'ResNet50', '2999', '0.41989754019825193', '0.45364158777115443'],
[0.003, 3e-06, 'ResNet50', '1999', '0.35211940767718425', '0.47021327446883304'],
[0.01, 5e-06, 'ResNet50', '999', '0.15387179997879938', '0.5557481910511468'],
[0.01, 5e-06, 'ResNet50', '14999', '0.7682599616230315', '0.6164416898565046'],
[0.01, 5e-06, 'ResNet50', '13999', '0.7148744981240018', '0.6312822210699025'],
[0.01, 5e-06, 'ResNet50', '12999', '0.7671458318019113', '0.604228662872018'],
[0.01, 5e-06, 'ResNet50', '11999', '0.7413131543049074', '0.5897318531323477'],
[0.01, 5e-06, 'ResNet50', '10999', '0.7606177073048044', '0.5976668718737164'],
[0.01, 5e-06, 'ResNet50', '9999', '0.7631502941420827', '0.6424571461619684'],
[0.01, 5e-06, 'ResNet50', '8999', '0.6998940925307926', '0.5890231332907578'],
[0.01, 5e-06, 'ResNet50', '7999', '0.7333929122340276', '0.5996748264142793'],
[0.01, 5e-06, 'ResNet50', '6999', '0.739294112631581', '0.6145677475555058'],
[0.01, 5e-06, 'ResNet50', '5999', '0.6977787903197757', '0.5840419161757171'],
[0.01, 5e-06, 'ResNet50', '4999', '0.6998431457702894', '0.5892988998863353'],
[0.01, 5e-06, 'ResNet50', '3999', '0.5891219238669528', '0.629267975694104'],
[0.01, 5e-06, 'ResNet50', '2999', '0.6390661854923437', '0.5478343540299832'],
[0.01, 5e-06, 'ResNet50', '1999', '0.3191225445407471', '0.37274983677221146'],
[0.005, 5e-06, 'ResNet50', '999', '0.10372347240268247', '0.2569558927704919'],
[0.001, 5e-06, 'ResNet50', '999', '0.045908791083520376', '0.2052529781474582'],
[0.005, 5e-06, 'ResNet50', '14999', '0.7664733717596066', '0.6910153605924545'],
[0.001, 5e-06, 'ResNet50', '14999', '0.6150029791637742', '0.5209703626309157'],
[0.001, 5e-06, 'ResNet50', '13999', '0.6529048635726838', '0.5330039120110326'],
[0.001, 5e-06, 'ResNet50', '12999', '0.6379670185142512', '0.5962250249937476'],
[0.001, 5e-06, 'ResNet50', '11999', '0.6229728626905218', '0.5256188465135866'],
[0.001, 5e-06, 'ResNet50', '2999', '0.3400921100997209', '0.46025057699112776'],
[0.001, 5e-06, 'ResNet50', '1999', '0.25328791730939304', '0.4496510150465568'],
[0.007, 5e-06, 'ResNet50', '999', '0.05385249287911707', '0.2403131999508495'],
[0.02, 5e-06, 'ResNet50', '999', '0.02280967518551259', '0.17815499141543625'],
[0.007, 5e-06, 'ResNet50', '14999', '0.7164826354901117', '0.6215152922311097'],
[0.007, 5e-06, 'ResNet50', '13999', '0.716231414471649', '0.5821224038516399'],
[0.02, 5e-06, 'ResNet50', '14999', '0.6918676599257372', '0.6150279726672145'],
[0.007, 5e-06, 'ResNet50', '12999', '0.7536459107378354', '0.589547076574211'],
[0.02, 5e-06, 'ResNet50', '13999', '0.7819517863684937', '0.6398348227750065'],
