[0.001, 0.0001, 'ResNet50', '11999', '0.6442992085611043', '0.6234567144724147']
[0.01, 0.0001, 'ResNet50', '12999', '0.6147336929274885', '0.6270888247202031']
[0.001, 0.0001, 'ResNet50', '10999', '0.6605589143125822', '0.5692882004124569']
[0.01, 0.0001, 'ResNet50', '11999', '0.774949370544143', '0.6432213232526969']
[0.001, 0.0001, 'ResNet50', '9999', '0.595152306853118', '0.5874920046737736']
[0.01, 0.0001, 'ResNet50', '10999', '0.7069465010409745', '0.613245613665991']
[0.01, 0.0001, 'ResNet50', '9999', '0.7129234551196749', '0.5980760202508006']
[0.001, 0.0001, 'ResNet50', '8999', '0.6387707122080938', '0.6055272688399661']
[0.01, 0.0001, 'ResNet50', '8999', '0.6544320243624029', '0.6489361240606516']
[0.001, 0.0001, 'ResNet50', '7999', '0.5551544003925555', '0.5399306114521385']
[0.01, 0.0001, 'ResNet50', '7999', '0.6621128431432206', '0.6219870632894087']
[0.001, 0.0001, 'ResNet50', '6999', '0.4422509605342473', '0.5426360210757485']
[0.01, 0.0001, 'ResNet50', '6999', '0.7682929861642462', '0.6408744068730807']
[0.01, 0.0001, 'ResNet50', '5999', '0.6876879133819539', '0.6164430821482265']
[0.001, 0.0001, 'ResNet50', '5999', '0.47530661040056127', '0.559412044701624']
[0.01, 0.0001, 'ResNet50', '4999', '0.6133805666105505', '0.5814193522007115']
[0.001, 0.0001, 'ResNet50', '4999', '0.441870326153624', '0.48344307253317764']
[0.01, 0.0001, 'ResNet50', '3999', '0.5243698928561422', '0.6114825697097616']
[0.001, 0.0001, 'ResNet50', '3999', '0.337137509816825', '0.4643309224373148']
[0.01, 0.0001, 'ResNet50', '2999', '0.41456491105305326', '0.4747364498763972']
[0.001, 0.0001, 'ResNet50', '2999', '0.2872792343979917', '0.37862568357940873']
[0.01, 0.0001, 'ResNet50', '1999', '0.12727376577133404', '0.46616167303528877']
[0.001, 0.0001, 'ResNet50', '1999', '0.2842374935249387', '0.4194075447675565']
[0.0001, 0.0001, 'ResNet50', '999', '0.004446757863493441', '0.0410486726831829']
[0.0001, 0.0001, 'ResNet50', '14999', '0.3598192062439238', '0.3894784774170468']
[0.0001, 0.0001, 'ResNet50', '13999', '0.37689171306572644', '0.35305882342896205']
[0.0001, 0.0001, 'ResNet50', '12999', '0.2887214109995416', '0.311708399152923']
[0.0001, 0.0001, 'ResNet50', '11999', '0.21618976227413028', '0.2650145362058049']
[0.0001, 0.0001, 'ResNet50', '10999', '0.20355778468501287', '0.28296691590421863']
[0.0001, 0.0001, 'ResNet50', '9999', '0.18173903259367918', '0.26262606665615784']
[0.0001, 0.0001, 'ResNet50', '8999', '0.21028244205548452', '0.255476252009454']
[0.0001, 0.0001, 'ResNet50', '7999', '0.10445057464231451', '0.2383587835850179']
[0.0001, 0.0001, 'ResNet50', '6999', '0.08333132336498975', '0.17917713088988071']
[0.0001, 0.0001, 'ResNet50', '5999', '0.06818752441233834', '0.1518573701819243']
[0.0001, 0.0001, 'ResNet50', '4999', '0.03639630764609158', '0.1080093979834827']
[0.0001, 0.0001, 'ResNet50', '3999', '0.007501220897167632', '0.06501028056143301']
[1e-05, 0.0001, 'ResNet50', '999', '0.000613865634986987', '0.0036060769393975144']
[0.0001, 0.0001, 'ResNet50', '2999', '0.0020628407128164905', '0.08474675939360662']
[0.0001, 0.0001, 'ResNet50', '1999', '0.0023817719386544102', '0.036702469886438584']
[1e-05, 0.0001, 'ResNet50', '14999', '0.007227269538572591', '0.020901168088091417']
[1e-05, 0.0001, 'ResNet50', '13999', '0.008706973312572756', '0.026104749978105822']
[1e-05, 0.0001, 'ResNet50', '12999', '0.009108749677765477', '0.02639626432970469']
[1e-05, 0.0001, 'ResNet50', '11999', '0.009219199396091171', '0.02890536575629955']
[1e-05, 0.0001, 'ResNet50', '10999', '0.01079250345614272', '0.035365610602935485']
[1e-05, 0.0001, 'ResNet50', '9999', '0.011353200169287432', '0.04119541245383006']
[1e-05, 0.0001, 'ResNet50', '8999', '0.012240661752908354', '0.05566640826346301']
[1e-05, 0.0001, 'ResNet50', '7999', '0.013773450443295879', '0.07332124852955361']
[1e-05, 0.0001, 'ResNet50', '6999', '0.012254005937875295', '0.061301784674705484']
[1e-05, 0.0001, 'ResNet50', '5999', '0.01173539377571781', '0.05995460066398717']
[1e-05, 0.0001, 'ResNet50', '4999', '0.005802263859018152', '0.014461782120451835']
[1e-05, 0.0001, 'ResNet50', '3999', '0.0008901023489401267', '0.0013475574580614693']
[1e-05, 0.0001, 'ResNet50', '2999', '0.0010699607801034471', '0.0014515247764080514']
[1e-05, 0.0001, 'ResNet50', '1999', '0.001987289094409951', '0.011093453340840526']
[0.01, 1e-05, 'ResNet50', '999', '0.08318054766242369', '0.27612216159980574']
[0.01, 1e-05, 'ResNet50', '14999', '0.7132984677342933', '0.6166656310437036']
[0.01, 1e-05, 'ResNet50', '13999', '0.7701747773106973', '0.5898971916171103']
[0.01, 1e-05, 'ResNet50', '12999', '0.7461791203601074', '0.6049705212514978']
[0.01, 1e-05, 'ResNet50', '11999', '0.6981102279646673', '0.5960269726500073']
[0.01, 1e-05, 'ResNet50', '10999', '0.7372881374980036', '0.628467429438785']
[0.01, 1e-05, 'ResNet50', '9999', '0.7743519930774835', '0.6668572029742139']
[0.001, 1e-05, 'ResNet50', '999', '0.002781603670339348', '0.09846708730537188']
[0.01, 1e-05, 'ResNet50', '8999', '0.6294150738483255', '0.5446294344702818']
[0.001, 1e-05, 'ResNet50', '14999', '0.5833932326964567', '0.5035328212073888']
[0.01, 1e-05, 'ResNet50', '7999', '0.6986764770391727', '0.5713022231452951']
[0.001, 1e-05, 'ResNet50', '13999', '0.584716509614046', '0.5405286709533735']
[0.01, 1e-05, 'ResNet50', '6999', '0.7409555735517614', '0.5995632464328782']
[0.001, 1e-05, 'ResNet50', '12999', '0.6905989365769616', '0.6236526412835623']
[0.01, 1e-05, 'ResNet50', '5999', '0.694007088957204', '0.595414084898888']
[0.001, 1e-05, 'ResNet50', '11999', '0.5640111689421499', '0.567055760543386']
[0.01, 1e-05, 'ResNet50', '4999', '0.7657922975030464', '0.6856024399445741']
[0.001, 1e-05, 'ResNet50', '10999', '0.669666739855667', '0.5977597515001453']
[0.01, 1e-05, 'ResNet50', '3999', '0.5182788074190002', '0.6273865713243396']
[0.001, 1e-05, 'ResNet50', '9999', '0.5882061901395244', '0.5592829425086492']
[0.01, 1e-05, 'ResNet50', '2999', '0.3698945168986044', '0.4787201673084843']
[0.001, 1e-05, 'ResNet50', '8999', '0.5490375041954408', '0.5534321785024547']
[0.001, 1e-05, 'ResNet50', '7999', '0.4986902454219864', '0.5211413875061737']
[0.01, 1e-05, 'ResNet50', '1999', '0.12144901055766373', '0.29685027891296223']
[0.001, 1e-05, 'ResNet50', '6999', '0.5849690051426342', '0.5944041467577381']
[0.001, 1e-05, 'ResNet50', '5999', '0.45953861987393607', '0.5458233830185458']
[0.001, 1e-05, 'ResNet50', '4999', '0.544188562358339', '0.5606176519139618']
[0.001, 1e-05, 'ResNet50', '3999', '0.4239667690314433', '0.4625023825497772']
[0.001, 1e-05, 'ResNet50', '2999', '0.4456362477312205', '0.5132367500175992']
