[0.0001, 0.001, 'ResNet50', '1999', '0.002732610423414027', '0.09838073159367415'],
[1e-05, 0.001, 'ResNet50', '999', '0.0022188477675753058', '0.003483901328441177'],
[1e-05, 0.001, 'ResNet50', '14999', '0.0047921290698206345', '0.035892129726967585'],
[1e-05, 0.001, 'ResNet50', '13999', '0.005386342864435767', '0.027905704405666594'],
[1e-05, 0.001, 'ResNet50', '12999', '0.005145452333466322', '0.024323608343894007'],
[1e-05, 0.001, 'ResNet50', '11999', '0.005070716012250496', '0.021326275848717886'],
[1e-05, 0.001, 'ResNet50', '10999', '0.005357933250232752', '0.020235449499618134'],
[1e-05, 0.001, 'ResNet50', '9999', '0.004300306819077759', '0.013419814863037274'],
[1e-05, 0.001, 'ResNet50', '8999', '0.0044164170330201775', '0.014465471165842524'],
[1e-05, 0.001, 'ResNet50', '7999', '0.003623962274838436', '0.011520942412930127'],
[1e-05, 0.001, 'ResNet50', '6999', '0.0037173765836660015', '0.012211936998907751'],
[1e-05, 0.001, 'ResNet50', '5999', '0.0037100017801001417', '0.011979258056544845'],
[1e-05, 0.001, 'ResNet50', '4999', '0.0024729674788465687', '0.007474473253902254'],
[1e-05, 0.001, 'ResNet50', '3999', '0.0013833459515286439', '0.004233143644337911'],
[1e-05, 0.001, 'ResNet50', '2999', '0.0009024672501130229', '0.003239488451676505'],
[1e-05, 0.001, 'ResNet50', '1999', '0.0005231462042926961', '0.0012071149706929444'],
[0.001, 0.0001, 'ResNet50', '999', '0.0031399767493058388', '0.2535110913866696'],
[0.001, 0.0001, 'ResNet50', '14999', '0.6071490673424205', '0.5365360139082446'],
[0.001, 0.0001, 'ResNet50', '13999', '0.5928544447448697', '0.5388814185962432'],
[0.001, 0.0001, 'ResNet50', '12999', '0.6015162079310921', '0.5877365089014276'],
[0.001, 0.0001, 'ResNet50', '11999', '0.6348596432982878', '0.5817447217219186'],
[0.001, 0.0001, 'ResNet50', '10999', '0.6368957174160126', '0.575856484579992'],
[0.001, 0.0001, 'ResNet50', '9999', '0.5896874594477104', '0.5368053745092289'],
[0.001, 0.0001, 'ResNet50', '8999', '0.589247544348065', '0.5157748912606744'],
[0.001, 0.0001, 'ResNet50', '7999', '0.5821561974654463', '0.566156242945117'],
[0.001, 0.0001, 'ResNet50', '6999', '0.5285778736855873', '0.5772441057869784'],
[0.001, 0.0001, 'ResNet50', '5999', '0.5421303205167867', '0.4623349933958879'],
[0.001, 0.0001, 'ResNet50', '4999', '0.5381617533122053', '0.48656866432239887'],
[0.001, 0.0001, 'ResNet50', '3999', '0.40054150561837654', '0.43004765299188874'],
[0.001, 0.0001, 'ResNet50', '2999', '0.327530149268615', '0.43212300679071125'],
[0.001, 0.0001, 'ResNet50', '1999', '0.2142437145523572', '0.3642634105452426'],
[0.01, 0.0001, 'ResNet50', '999', '0.0652911336436813', '0.12795816218292272'],
[0.01, 0.0001, 'ResNet50', '14999', '0.6956624532635695', '0.6353583112221622'],
[0.01, 0.0001, 'ResNet50', '13999', '0.7739147171251095', '0.6062890086005357'],
[0.01, 0.0001, 'ResNet50', '12999', '0.7507413785506768', '0.5956271239232815'],
[0.01, 0.0001, 'ResNet50', '11999', '0.6962488106010098', '0.622679324882483'],
[0.01, 0.0001, 'ResNet50', '10999', '0.7578475871550747', '0.6242425783037631'],
[0.01, 0.0001, 'ResNet50', '9999', '0.700297814234389', '0.6548167799128305'],
[0.01, 0.0001, 'ResNet50', '8999', '0.6296445988584299', '0.5838337863584252'],
[0.01, 0.0001, 'ResNet50', '7999', '0.67902720033156', '0.6148807618454649'],
[0.01, 0.0001, 'ResNet50', '6999', '0.7523445107394847', '0.6301674946984445'],
[0.01, 0.0001, 'ResNet50', '5999', '0.6735745337736886', '0.6448832314350652'],
[0.01, 0.0001, 'ResNet50', '4999', '0.6549892730923046', '0.5427042225487662'],
[0.01, 0.0001, 'ResNet50', '3999', '0.565272408204857', '0.5562348319821643'],
[0.01, 0.0001, 'ResNet50', '2999', '0.26599396275613707', '0.5800555857054515'],
[0.01, 0.0001, 'ResNet50', '1999', '0.11680993845087487', '0.3336144613199496'],
[0.0001, 0.0001, 'ResNet50', '999', '0.0012402946115406609', '0.00859790982287399'],
[0.0001, 0.0001, 'ResNet50', '14999', '0.31320355983712816', '0.35168556247653215'],
[0.0001, 0.0001, 'ResNet50', '13999', '0.29763748720482186', '0.3468498245417756'],
[0.0001, 0.0001, 'ResNet50', '12999', '0.2731342364698144', '0.3427179720540499'],
[0.0001, 0.0001, 'ResNet50', '11999', '0.2833979521583238', '0.3133614552931921'],
[0.0001, 0.0001, 'ResNet50', '10999', '0.2863515233125009', '0.3258847812256757'],
[0.0001, 0.0001, 'ResNet50', '9999', '0.21887249812601706', '0.3314637037050657'],
[0.0001, 0.0001, 'ResNet50', '8999', '0.2590634373265298', '0.2728731408355328'],
[0.0001, 0.0001, 'ResNet50', '7999', '0.20313919499109093', '0.3028122447269911'],
[0.0001, 0.0001, 'ResNet50', '6999', '0.17301705672041587', '0.27281988886817377'],
[0.0001, 0.0001, 'ResNet50', '5999', '0.1262063119570095', '0.2478704703549512'],
[0.0001, 0.0001, 'ResNet50', '4999', '0.11060416903115082', '0.20327993078638382'],
