[[1e-05, 0.01, 'ResNet50', '999', '0.0', '0.0'],
[0.001, 0.0001, 'ResNet50', '6999', '0.5741966916927318', '0.5985853257750893'],
[0.01, 0.0001, 'ResNet50', '14999', '0.7083137295550929', '0.5908577041844804'],
[0.001, 0.0001, 'ResNet50', '5999', '0.5065642430553836', '0.499772619885195'],
[0.01, 0.0001, 'ResNet50', '13999', '0.7127143484928903', '0.6356048921684709'],
[0.001, 0.0001, 'ResNet50', '4999', '0.48680945296495315', '0.49941333465839916'],
[0.01, 0.0001, 'ResNet50', '12999', '0.6964382599799575', '0.5840801998433411'],
[0.001, 0.0001, 'ResNet50', '3999', '0.43718636411558853', '0.4710864123106197'],
[0.01, 0.0001, 'ResNet50', '11999', '0.7847185149373015', '0.6314886800583199'],
[0.01, 0.0001, 'ResNet50', '10999', '0.7297393905965381', '0.6099388496725074'],
[0.001, 0.0001, 'ResNet50', '2999', '0.2408202616591987', '0.440171305561374'],
[0.01, 0.0001, 'ResNet50', '9999', '0.6116469852223876', '0.5906477487750252'],
[0.001, 0.0001, 'ResNet50', '1999', '0.17992543682949122', '0.3918733590317481'],
[0.01, 0.0001, 'ResNet50', '8999', '0.6897688374820186', '0.6360597919995096'],
[0.01, 0.0001, 'ResNet50', '7999', '0.7600419565317276', '0.628705840608303'],
[0.01, 0.0001, 'ResNet50', '6999', '0.707273466404239', '0.5764374802257298'],
[0.01, 0.0001, 'ResNet50', '5999', '0.6362059296636067', '0.6065931607112692'],
[0.01, 0.0001, 'ResNet50', '4999', '0.7234202490719331', '0.6516163522785502'],
[0.01, 0.0001, 'ResNet50', '3999', '0.5241265899622903', '0.5777038240641958'],
[0.01, 0.0001, 'ResNet50', '2999', '0.33562029443660835', '0.4486356441284272'],
[0.01, 0.0001, 'ResNet50', '1999', '0.38236112271497624', '0.5047724250432752'],
[0.0001, 0.0001, 'ResNet50', '999', '0.0013043802380653404', '0.0053671569698968925'],
[0.0001, 0.0001, 'ResNet50', '14999', '0.3084033542229395', '0.42318784199043513'],
[0.0001, 0.0001, 'ResNet50', '13999', '0.33316727561305937', '0.36476848754084673'],
[0.0001, 0.0001, 'ResNet50', '12999', '0.34282155161634614', '0.33573849614934936'],
[0.0001, 0.0001, 'ResNet50', '11999', '0.3051722664700443', '0.37626136663484583'],
[0.0001, 0.0001, 'ResNet50', '10999', '0.3301241194945976', '0.3732955033415879'],
[0.0001, 0.0001, 'ResNet50', '9999', '0.22755279707314474', '0.30733050810510043'],
[0.0001, 0.0001, 'ResNet50', '8999', '0.24459189850036828', '0.31886139910550026'],
[0.0001, 0.0001, 'ResNet50', '7999', '0.15455585914995595', '0.23525382153282703'],
[0.0001, 0.0001, 'ResNet50', '6999', '0.12581740086262877', '0.19320542240036911'],
[0.0001, 0.0001, 'ResNet50', '5999', '0.09971791469861574', '0.22883291354943647'],
[0.0001, 0.0001, 'ResNet50', '4999', '0.029397631308771332', '0.1492184630839513'],
[0.0001, 0.0001, 'ResNet50', '3999', '0.007761329108337436', '0.21455289408408543'],
[0.0001, 0.0001, 'ResNet50', '2999', '0.0019525548800787447', '0.058997509166249386'],
[0.0001, 0.0001, 'ResNet50', '1999', '0.0018539679714559532', '0.011913017163764236'],
[1e-05, 0.0001, 'ResNet50', '999', '4.1417231480338797e-05', '4.225508109030883e-05'],
[1e-05, 0.0001, 'ResNet50', '14999', '0.005999662961773472', '0.03965663235946555'],
[1e-05, 0.0001, 'ResNet50', '13999', '0.006304198801303511', '0.035518380315197697'],
[1e-05, 0.0001, 'ResNet50', '12999', '0.00593751713110847', '0.03395188953498113'],
[1e-05, 0.0001, 'ResNet50', '11999', '0.006351794369870996', '0.028811863167316987'],
