[0.02, 3e-06, 'ResNet50', '13999', '0.7670908997783619', '0.6326031635235325'],
[0.02, 3e-06, 'ResNet50', '12999', '0.74748832193082', '0.6467529967795496'],
[0.02, 3e-06, 'ResNet50', '11999', '0.7236599726413387', '0.6122483720389725'],
[0.02, 3e-06, 'ResNet50', '10999', '0.7735726688893461', '0.6307674580095253'],
[0.02, 3e-06, 'ResNet50', '9999', '0.5401950074903924', '0.6103258938749975'],
[0.02, 3e-06, 'ResNet50', '8999', '0.6650830889844569', '0.6106730753642242'],
[0.02, 3e-06, 'ResNet50', '7999', '0.5432924187872894', '0.6181494752679776'],
[0.02, 3e-06, 'ResNet50', '6999', '0.5688894743082601', '0.621819838790198'],
[0.007, 3e-06, 'ResNet50', '999', '0.30535084136667173', '0.42692044380452954'],
[0.02, 3e-06, 'ResNet50', '5999', '0.10410717525806756', '0.3210318046220058'],
[0.02, 3e-06, 'ResNet50', '4999', '0.12436075740185168', '0.3784426227575582'],
[0.007, 3e-06, 'ResNet50', '14999', '0.7600657708707134', '0.6356677626077664'],
[0.02, 3e-06, 'ResNet50', '3999', '0.3220249228282593', '0.4636757420394522'],
[0.007, 3e-06, 'ResNet50', '13999', '0.7485320265572291', '0.6195343735732147'],
[0.02, 3e-06, 'ResNet50', '2999', '0.061880203012719924', '0.4726849535433046'],
[0.003, 3e-06, 'ResNet50', '999', '0.15716074455040813', '0.28715142470751853'],
[0.007, 3e-06, 'ResNet50', '12999', '0.6974311900304011', '0.6165029365467684'],
[0.02, 3e-06, 'ResNet50', '1999', '0.17214922134244157', '0.48533415767576404'],
[0.005, 3e-06, 'ResNet50', '999', '0.077273690624322', '0.19819124665598684'],
[0.007, 3e-06, 'ResNet50', '11999', '0.7486560936550649', '0.6082332480948696'],
[0.003, 3e-06, 'ResNet50', '14999', '0.7238400110343359', '0.5966528659883347'],
[0.003, 3e-06, 'ResNet50', '13999', '0.65619008879797', '0.5886045157437476'],
[0.007, 3e-06, 'ResNet50', '10999', '0.6245157792499585', '0.579003464460831'],
[0.005, 3e-06, 'ResNet50', '14999', '0.7371451390133728', '0.6380018323961185'],
[0.003, 3e-06, 'ResNet50', '12999', '0.674869943865367', '0.578239506122248'],
[0.005, 3e-06, 'ResNet50', '13999', '0.6901308337902685', '0.6121044401635016'],
[0.003, 3e-06, 'ResNet50', '11999', '0.6814283813700092', '0.5985965669112737'],
[0.007, 3e-06, 'ResNet50', '9999', '0.7494904146273094', '0.5951255271529753'],
