[0.02, 1e-06, 'ResNet50', '5999', '0.4433126625049221', '0.5136269488336531'],
[0.005, 3e-06, 'ResNet50', '11999', '0.6740710701381746', '0.5741256927702864'],
[0.003, 3e-06, 'ResNet50', '11999', '0.6773388899211688', '0.5742641908987773'],
[0.02, 1e-06, 'ResNet50', '4999', '0.49311299144332243', '0.55812476520385'],
[0.005, 3e-06, 'ResNet50', '10999', '0.7558502254807982', '0.6102571482492906'],
[0.003, 3e-06, 'ResNet50', '10999', '0.6745911660036495', '0.5830163080104829'],
[0.02, 1e-06, 'ResNet50', '3999', '0.5798130211181767', '0.6198326556983628'],
[0.005, 3e-06, 'ResNet50', '9999', '0.6895719813780127', '0.6189866868260643'],
[0.003, 3e-06, 'ResNet50', '9999', '0.7686187966760653', '0.61928068359959'],
[0.02, 1e-06, 'ResNet50', '2999', '0.25632009733477584', '0.5227982700437555'],
[0.005, 3e-06, 'ResNet50', '8999', '0.6698540310260251', '0.5973833979447108'],
[0.003, 3e-06, 'ResNet50', '8999', '0.643815517074272', '0.5751387926123862'],
[0.005, 3e-06, 'ResNet50', '7999', '0.658936500280048', '0.5759190694073604'],
[0.003, 3e-06, 'ResNet50', '7999', '0.7309957610611431', '0.6033430269954833'],
[0.02, 1e-06, 'ResNet50', '1999', '0.5081611588355303', '0.5761818249153904'],
[0.003, 3e-06, 'ResNet50', '6999', '0.70646023857798', '0.6245625566744891'],
[0.005, 3e-06, 'ResNet50', '6999', '0.6958761700656385', '0.6461510348165312'],
[0.003, 3e-06, 'ResNet50', '5999', '0.7436489612766218', '0.6084484685729975'],
[0.005, 3e-06, 'ResNet50', '5999', '0.6687120828371366', '0.5824009893651954'],
[0.003, 3e-06, 'ResNet50', '4999', '0.601264624258776', '0.5485949901559544'],
[0.005, 3e-06, 'ResNet50', '4999', '0.5741748504844996', '0.6204535314550227'],
[0.003, 3e-06, 'ResNet50', '3999', '0.6398357016003348', '0.5449989654618788'],
[0.005, 3e-06, 'ResNet50', '3999', '0.5505171071250068', '0.5780530518117006'],
[0.003, 3e-06, 'ResNet50', '2999', '0.4796425395511489', '0.5519712642106253'],
[0.005, 3e-06, 'ResNet50', '2999', '0.383752336416337', '0.455288537434215'],
[0.003, 3e-06, 'ResNet50', '1999', '0.3466415874861093', '0.5638887809117114'],
[0.005, 3e-06, 'ResNet50', '1999', '0.3957995827739295', '0.4486619041794375'],
[0.007, 3e-06, 'ResNet50', '999', '0.044351543424273665', '0.27554195560952277'],
[0.007, 3e-06, 'ResNet50', '14999', '0.7657320941517135', '0.5995579383583689'],
[0.007, 3e-06, 'ResNet50', '13999', '0.7259358446000329', '0.6216870601700448'],
[0.007, 3e-06, 'ResNet50', '12999', '0.7754630515355995', '0.6059082765787241'],
[0.007, 3e-06, 'ResNet50', '11999', '0.7508779541611845', '0.5940373463251001'],
[0.007, 3e-06, 'ResNet50', '10999', '0.726714032111975', '0.6665260234205712'],
[0.007, 3e-06, 'ResNet50', '9999', '0.7447948404000464', '0.5949936025330923'],
[0.007, 3e-06, 'ResNet50', '8999', '0.7679686235376048', '0.6151630981670038'],
[0.007, 3e-06, 'ResNet50', '7999', '0.643832408438142', '0.6051354927188595'],
[0.007, 3e-06, 'ResNet50', '6999', '0.751123208462203', '0.6098784802783326'],
[0.007, 3e-06, 'ResNet50', '5999', '0.6613973500077008', '0.5970666757319235'],
[0.007, 3e-06, 'ResNet50', '4999', '0.6079655176577308', '0.5433027367381673'],
[0.007, 3e-06, 'ResNet50', '3999', '0.49261916021823177', '0.47858058893873096'],
[0.007, 3e-06, 'ResNet50', '2999', '0.5634188406740042', '0.6069876533531939'],
[0.007, 3e-06, 'ResNet50', '1999', '0.4101435421449768', '0.35494513072792755'],
[0.009, 3e-06, 'ResNet50', '999', '0.016454913796703153', '0.1103215987802594'],
[0.009, 3e-06, 'ResNet50', '14999', '0.683917734906589', '0.6155125966448566'],
